handle	name	specialty	github	github_followers	github_company	huggingface	scholar_id	sem_scholar_id	sem_scholar_h_index	sem_scholar_citations	dblp_pid	affiliation	website	avatar	bio	hackernews	arxiv_author
jaschasd	Jascha Sohl-Dickstein	diffusion				jaschasd	-3zYIjQAAAAJ				51/7117			/avatars/51cc0f6dfab2233bddd73bfcd0c8aee3.svg			Jascha Sohl-Dickstein
maximelabonne	Maxime Labonne	fine-tuning				mlabonne	r4PsgrcAAAAJ	51117328	5	95	223/8043			https://cdn-avatars.huggingface.co/v1/production/uploads/61b8e2ba285851687028d395/Rq3xWG7mJ3aCRoBsq340h.jpeg			Maxime Labonne
jachiam0	Joshua Achiam	RL / alignment					Xto7OfgAAAAJ	2318703608	5	10105	176/5424			https://pbs.twimg.com/profile_images/967329395080744960/O-MKd6Nx.jpg			Joshua Achiam
ctnzr	Bryan Catanzaro	ML systems				ctnzr	UZ6kI2AAAAAJ	27439851	5	110	14/4826			https://cdn-avatars.huggingface.co/v1/production/uploads/6311021788942700629e6247/vDktfPZwSRRhYIxkUKYjP.jpeg			Bryan Catanzaro
mononofu	Julian Schrittwieser	RL					AiH3_CkAAAAJ	4337102	20	46474	192/1707			https://pbs.twimg.com/profile_images/1256258472963911682/DUN_iOOG.jpg			Julian Schrittwieser
j_foerst	Jakob Foerster	multi-agent RL					6z4lQzMAAAAJ				176/5095			https://pbs.twimg.com/profile_images/1686340856742076416/FhNhPkiw.jpg			Jakob Foerster
ren_hongyu	Hongyu Ren	LLM research					cbuy0ocAAAAJ				359/0265			https://pbs.twimg.com/profile_images/1473932924005203968/OxV-Agv9.jpg			Hongyu Ren
poolio	Ben Poole	diffusion					i5FMLA4AAAAJ				16/10397			https://pbs.twimg.com/profile_images/577742437621235712/GCgLg1rC.png		poolio	Ben Poole
brandondamos	Brandon Amos	RL / optimization					d8gdZR4AAAAJ	1773498	37	8892	133/4801			https://pbs.twimg.com/profile_images/1829197781908508676/x8AkN4Vs.jpg			Brandon Amos
ajddavison	Andrew Davison	SLAM / spatial AI					A0ae1agAAAAJ				55/2678			https://pbs.twimg.com/profile_images/1113822545965473794/F83ly3Sa.png			Andrew Davison
gabeeegoooh	Gabriel Goh	generative models					2O3IZlkAAAAJ	122859283	5	450	57/6187			https://pbs.twimg.com/profile_images/2047331296901541888/h8PLU3Hn.jpg			Gabriel Goh
maxjaderberg	Max Jaderberg	deep RL					JeZoMicAAAAJ	3093886	26	26127	146/0800			https://pbs.twimg.com/profile_images/1967274840206839808/SJ2M3wB1.jpg		maxjaderberg	Max Jaderberg
danqi_chen	Danqi Chen	NLP / retrieval				cdq10131	sVR8ktkAAAAJ				434/9493			/avatars/005ba9ead6b95b9ee8a31d050de77cee.svg			Danqi Chen
songlinyang4	Songlin Yang	efficient LMs					bb184bcAAAAJ	2184282216	6	97	379/2833			https://pbs.twimg.com/profile_images/2006596631156887552/rSqzGOix.jpg			Songlin Yang
ezyang	Edward Z. Yang	ML systems				ezyang	CXlrXP8AAAAJ	2287624500	4	1200	118/9819			/avatars/434aee9ad675384a9e745c7217ac4abe.svg		ezyang	Edward Z. Yang
dileeplearning	Dileep George	AGI / neuro-AI					0hmE5AUAAAAJ	2406994842	3	278	58/2137			https://pbs.twimg.com/profile_images/1039010552704450561/eq2xZkut.jpg			Dileep George
rown	Rowan Zellers	multimodal									182/2175			https://pbs.twimg.com/profile_images/1534178498608177152/YvlnlQCo.jpg			Rowan Zellers
finbarrtimbers	Finbarr Timbers	LLM training				finbarr	akVuxqsAAAAJ	2196718	11	930	161/1004			/avatars/6280f6ee9d4d98c8ae0be979148be471.svg			Finbarr Timbers
eliebakouch	Elie Bakouch	LLM training				eliebak	fkysZAkAAAAJ				378/4254			https://cdn-avatars.huggingface.co/v1/production/uploads/651e96991b97c9f33d26bde6/-Bqs6qrmz0yCfwtB2e-6q.jpeg			Elie Bakouch
ancadianadragan	Anca Dragan	alignment					UgHB5oAAAAAJ	2745001	61	14592	424/5822			https://pbs.twimg.com/profile_images/1026125638149664769/mKpHuJIA.jpg			Anca Dragan
nsthorat	Nikhil Thorat	evals / tooling				nsthorat-lilac	lNDGlFQAAAAJ				190/7230			/avatars/7dd3f10f9f144b50463f7113bdeab522.svg		nsthorat	Nikhil Thorat
a_k_nain	Aakash Kumar Nain	ML engineering					g1SgcYcAAAAJ				354/8157			https://pbs.twimg.com/profile_images/1607023691128537089/WPS2yrv-.jpg			Aakash Kumar Nain
casper_hansen_	Casper Hansen	quantization					lwXO0soAAAAJ				205/2958			https://pbs.twimg.com/profile_images/1463225585799467013/ndVxzFtj.jpg			Casper Hansen
irinarish	Irina Rish	scaling / continual learning				irinarish	Avse5gIAAAAJ	2109771	44	9127	r/IrinaRish			/avatars/0204e3da8e9ef12d88c98c6e955f8340.svg			Irina Rish
